Complete Meal,Ingredients,Quantities
"Red Rice with Brinjal Moju, Jaffna Crab Curry, Mustard Greens Curry","Red rice, Eggplant,  Vinegar,  Spices, Crab,  Coconut milk,  Chillies, Mustard greens,  Chillies","40, 30.0, 40.0, 30.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Chicken Curry, potatoe cheese Balls, Polos Ambula","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, cheese,  Potatoes,  pepper, Jackfruit,  coconut milk,  chillies","40, 50.0, 20.0, 5.0, 13.0, 30.0, 60.0, 10.0, 80.0, 30.0, 10.0"
"Red Rice with Lotus Root Curry, potatoe cheese Balls, Radish Sambol","Red rice, Lotus root,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Radish,  Coconut,  pepper","40, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Chickpea Curry, Capsicum Curry, Mango Chutney","Red rice, Chickpea,  Coconut milk,  Chillies, Capsicum,  Coconut milk,  Chillies, Mango,  Vinegar,  sugar","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 40.0, 10.0, 10.0"
"Red Rice with Gotu Kola Sambol, Carrot curry, Pumpkin curry","Red rice, Gotu Kola,  Coconut,  Onion, Carrot,  chillies, curry leaves, Pumpkin","40, 10.0, 55.0, 15.0, 50.0, 20.0, 10.0, 60.0"
"Red Rice with Fish Patties, Pumpkin curry, Chickpea Salad","Red rice, Fish,  Flour,  Oil, Pumpkin,  Coconut milk,  chillies, curry leaves, Chickpeas,  Carrot,  Cabbage","40, 40.0, 30.0, 30.0, 60.0, 20.0, 10.0, 5.0, 60.0, 30.0, 30.0"
"Red Rice with Gotu Kola Sambol, Murunga Curry, Spicy Crab","Red rice, Gotu Kola,  Coconut,  Onion, Drumstick,  Spices, Crab,  Oil,  chillies","40, 10.0, 40.0, 15.0, 50.0, 10.0, 70.0, 20.0, 10.0"
"Red Rice with Cabbage Mallung, Papaya Curry, Polos Mallum","Red rice, Cabbage,  Coconut,  Spices, Papaya,  Spices, Jackfruit,  oil","40, 20.0, 65.0, 5.0, 50.0, 10.0, 50.0, 5.0"
"Red Rice with Brinjal Moju, Sweet Corn Curry, Batu Moju","Red rice, Eggplant,  Vinegar,  Spices, Sweet corn,  Coconut milk,  Chillies,  garlic","40, 100.0, 40.0, 30.0, 50.0, 25.0, 10.0, 15.0"
"Red Rice with Bitter Gourd Salad, Spinach Curry, Lotus Root Curry","Red rice, Bitter gourd,  Coconut, Spinach,  Coconut milk,  Spices, Lotus root,  Chillies","40, 50.0, 35.0, 30.0, 65.0, 30.0, 50.0, 10.0"
"Red Rice with Green Gram Curry, Lotus Root Curry, Mustard Greens Curry","Red rice, Green gram,  Coconut milk,  Spices, Lotus root,  Coconut milk,  Chillies, Mustard greens,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Bean Curry, Beef Curry, Fish Curry","Red rice, Beans,  Coconut milk,  Spices, Beef,  Coconut milk,  Chillies, Fish, curry leaves","40, 30.0, 60.0, 33.0, 60.0, 25.0, 10.0, 50.0, 2.0"
"Red Rice with Snake Gourd Curry, Batu Moju, Spicy Crab","Red rice, Snake gourd,  Coconut milk,  Spices, Eggplant,  garlic, Crab,  Oil,  chillies","40, 50.0, 25.0, 10.0, 70.0, 15.0, 70.0, 20.0, 10.0"
"Red Rice with Cabbage Mallung, Murunga Curry, Sesame Seed Sambol","Red rice, Cabbage,  Coconut,  Spices, Drumstick, Sesame seed,  Chili,  Onion","40, 20.0, 35.0, 15.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Cabbage Mallung, Bitter Gourd Curry, Kohila Curry","Red rice, Cabbage,  Coconut,  Spices, Bitter gourd, Kohila,  Coconut milk,  Chillies","40, 20.0, 35.0, 15.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Sesame Seed Sambol, Collard Greens Curry, Chickpea Salad","Red rice, Sesame seed,  Chili,  Onion, Collard greens,  Coconut milk,  Chillies, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 60.0, 30.0, 30.0"
"Red Rice with Bitter Leaf Curry, Dry Fish Curry, Beetroot curry","Red rice, Bitter leaves,  Coconut milk,  Chillies, Dry fish,  Coconut milk,  Chillies, Beetroot, curry leaves","40, 50.0, 55.0, 20.0, 50.0, 25.0, 10.0, 70.0, 10.0"
"Red Rice with Eggplant Curry, Mustard Greens Curry, Vegetable Balls","Red rice, Eggplant,  Spices,  Coconut milk, Mustard greens,  Coconut milk,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 30.0, 2.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Potato Curry, Cashew Curry, Spicy Crab","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Cashew,  Coconut milk,  Chillies, Crab,  Oil","40, 20.0, 30.0, 10.0, 5.0, 2.0, 50.0, 25.0, 20.0, 70.0, 20.0"
"Red Rice with Devilled Chicken, Green Banana Curry, Batu Moju","Red rice, Chicken,  Chili,  Curry leaves, Onion, Green banana,  Coconut milk, Eggplant,  garlic","40, 50.0, 15.0, 10.0, 20.0, 50.0, 25.0, 70.0, 15.0"
"Red Rice with Potato Curry, Collard Greens Curry, Maalu Badun","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Collard greens,  Coconut milk,  Chillies, Fish,  Oil","40, 20.0, 30.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 90.0, 15.0"
"Red Rice with Soya Meat Curry, Jaffna Crab Curry, Vegetable Balls","Red rice, Soya meat,  Coconut milk,  Chillies, Crab,  Coconut milk,  Chillies, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Pol Sambol, Papaya Curry, Dry Fish Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Papaya,  Spices, Dry fish,  Coconut milk,  Chillies","40, 75.0, 5.0, 10.0, 3.0, 3.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Bathala Curry, Green Pea Curry, Kappa Masala","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies, Cassava","40, 50.0, 45.0, 5.0, 3.0, 50.0, 25.0, 10.0, 60.0"
"Red Rice with Ala Badun, Kohila Curry, Sprats Fry","Red rice, Potato,  Oil, onion, chilli, Kohila,  Coconut milk,  Chillies, Dried fish","40, 40.0, 30.0, 30.0, 5.0, 50.0, 25.0, 20.0, 40.0"
"Red Rice with Devilled Chicken, Brinjal Moju, Sesame Seed Sambol","Red rice, Chicken,  Chili,  Curry leaves, Onion, Eggplant,  Vinegar,  Spices, Sesame seed,  Onion","40, 50.0, 30.0, 10.0, 20.0, 30.0, 40.0, 30.0, 50.0, 10.0"
"Red Rice with Carrot Curry, Ulundu Wade, Garlic curry","Red rice, Carrot,  Coconut milk,  Spices, Urad,  flour,  Oil, Garlic,  chillies,  curry leaves ","40, 50.0, 40.0, 5.0, 30.0, 40.0, 20.0, 50.0, 10.0, 5.0"
"Red Rice with Tomato Curry, Pumpkin Leaves Curry, Octopus Curry","Red rice, Tomato,  Coconut milk,  Chillies, Pumpkin leaves,  Coconut milk,  Chillies, Octopus","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Fish Curry, Collard Greens Curry, Spicy Crab","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Collard greens,  Coconut milk,  Chillies, Crab,  Oil,  chillies","40, 50.0, 20.0, 3.0, 2.0, 50.0, 25.0, 10.0, 70.0, 20.0, 10.0"
"Red Rice with Parippu, Bottle Gourd Curry, Jackfruit Mallum","Red rice, Dhal,  Coconut milk, Termeric powder, Bottle gourd,  Chillies, Jackfruit","40, 10.0, 65.0, 5.0, 50.0, 10.0, 60.0"
"Red Rice with Thalapath Fish Curry, Murunga Curry, Carrot Sambol","Red rice, Thalapath fish,  Coconut milk,  Spices, Drumstick, Carrot,  Coconut,  pepper","40, 50.0, 50.0, 20.0, 50.0, 50.0, 10.0, 5.0"
"Red Rice with Parippu, Cauliflower Pickle, Polos Ambula","Red rice, Dhal,  Coconut milk, Termeric powder, Cauliflower,  Oil,  Garlic, Jackfruit,  chillies,  curry leaves","40, 10.0, 40.0, 5.0, 100.0, 50.0, 20.0, 80.0, 10.0, 10.0"
"Red Rice with Beetroot Curry, Kochchi Sambol, Batu Moju","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Green chili, Eggplant,  garlic","40, 30.0, 50.0, 5.0, 2.0, 10.0, 70.0, 15.0"
"Red Rice with Ala Badun, Spicy Crab, Tropical Salad","Red rice, Potato,  Oil, onion, chilli, Crab,  chillies, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 40.0, 30.0, 30.0, 5.0, 70.0, 10.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Pol Sambol, Bottle Gourd Curry, Jackfruit Mallum","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Bottle gourd, Jackfruit","40, 105.0, 15.0, 10.0, 3.0, 3.0, 50.0, 60.0"
"Red Rice with Pineapple Curry, Octopus Curry, Pineapple Pickle","Red rice, Pineapple,  Coconut milk,  Spices, Octopus,  Coconut milk,  Chillies,  pepper","40, 100.0, 25.0, 10.0, 50.0, 25.0, 10.0, 10.0"
"Red Rice with Tomato Curry, Seeni Sambol, Devilled Beef","Red rice, Tomato,  Coconut milk,  Chillies, Onion,  Sugar,  chillii, Beef,  Oil","40, 50.0, 25.0, 10.0, 50.0, 5.0, 10.0, 80.0, 30.0"
"Red Rice with Eggplant Curry, Octopus Curry, Collard Greens Curry","Red rice, Eggplant,  Spices,  Coconut milk, Octopus,  Coconut milk,  Chillies, Collard greens,  Chillies","40, 30.0, 2.0, 10.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Dhal Curry, Murunga Curry, Carrot Sambol","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Drumstick, Carrot,  Coconut,  pepper","40, 80.0, 35.0, 15.0, 5.0, 50.0, 50.0, 10.0, 5.0"
"Red Rice with Sesame Seed Sambol, Coriander Sambol, Cauliflower Pickle","Red rice, Sesame seed,  Chili,  Onion, Coriander,  Coconut,  pepper, Cauliflower,  Oil,  Garlic","40, 50.0, 25.0, 10.0, 60.0, 30.0, 5.0, 100.0, 50.0, 20.0"
"Red Rice with Potato Curry, Murukku, Garlic curry","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, flour,  Chillies, Garlic,  chillies","40, 20.0, 50.0, 10.0, 10.0, 2.0, 50.0, 20.0, 50.0, 10.0"
"Red Rice with Okra Curry, Coconut Sambol, Jackfruit Mallum","Red rice, Okra,  Coconut milk,  Chillies, Coconut,  Chili,  Onion, Jackfruit","40, 50.0, 25.0, 10.0, 80.0, 15.0, 20.0, 60.0"
"Red Rice with Snake Gourd Curry, Garlic curry, Sinhala Achcharu","Red rice, Snake gourd,  Coconut milk,  Spices, Garlic,  chillies,  curry leaves , Carrot,  onion,  Vinegar","40, 50.0, 45.0, 10.0, 50.0, 25.0, 5.0, 30.0, 35.0, 10.0"
"Red Rice with Elumas Curry, Radish Sambol, Maalu Badun","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Radish,  pepper, Fish,  Oil","40, 50.0, 50.0, 5.0, 2.0, 60.0, 5.0, 90.0, 15.0"
"Red Rice with Gotu Kola Sambol, Devilled Fish, Jaffna Crab Curry","Red rice, Gotu Kola,  Coconut,  Onion, Fish,  Chili,  Curry leaves, Crab,  Coconut milk","40, 10.0, 15.0, 35.0, 50.0, 15.0, 5.0, 50.0, 25.0"
"Red Rice with Beef Curry, Polos Mallum, Jaffna Crab Curry","Red rice, Beef,  Coconut milk,  Chillies, Jackfruit,  Coconut,  oil, Crab","40, 60.0, 50.0, 20.0, 50.0, 30.0, 5.0, 50.0"
"Red Rice with Beetroot Curry, Fish Cutlets, Vegetable Balls","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Fish,  Potatoes,  Chillies, Carrot,  leeks,  Jackfruit,  pepper","40, 30.0, 20.0, 5.0, 2.0, 30.0, 50.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Pol Sambol, Devilled Fish, Sweet Corn Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Fish,  Curry leaves, Sweet corn,  Coconut milk","40, 50.0, 20.0, 30.0, 3.0, 3.0, 50.0, 5.0, 50.0, 25.0"
"Red Rice with Parippu, potatoe cheese Balls, Mint Sambol","Red rice, Dhal,  Coconut milk, Termeric powder, cheese,  Potatoes,  pepper, Mint,  Coconut,  pepper","40, 10.0, 10.0, 5.0, 30.0, 60.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Gotu Kola Sambol, Ulundu Wade, Mint Sambol","Red rice, Gotu Kola,  Coconut,  Onion, Urad,  flour,  Oil,  Coconut,  pepper","40, 10.0, 15.0, 15.0, 90.0, 40.0, 20.0, 30.0, 5.0"
"Red Rice with Pol Sambol, Devilled Chicken, Potato Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Chicken,  Curry leaves, Potato,  Spices, Turmeric Powder","40, 80.0, 10.0, 30.0, 3.0, 3.0, 50.0, 15.0, 20.0, 10.0, 2.0"
"Red Rice with Radish Sambol, Seeni Sambol, Kiri Hodi","Red rice, Radish,  Coconut,  pepper, Onion,  Sugar,  chillii","40, 60.0, 90.0, 5.0, 50.0, 5.0, 5.0"
"Red Rice with Soya Meat Curry, Fish Curry, Tropical Salad","Red rice, Soya meat,  Coconut milk,  Chillies, Fish,  Spices, curry leaves, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 45.0, 10.0, 50.0, 3.0, 2.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Cabbage Mallung, Papaya Curry, Garlic curry","Red rice, Cabbage,  Coconut,  Spices, Papaya,  Spices, Garlic,  chillies,  curry leaves ","40, 20.0, 55.0, 5.0, 50.0, 10.0, 50.0, 10.0, 5.0"
"Red Rice with Sweet Corn Curry, potatoe cheese Balls, Mint Sambol","Red rice, Sweet corn,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Mint,  Coconut,  pepper","40, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Fish Cutlets, Sinhala Achcharu, Maalu Badun","Red rice, Fish,  Potatoes,  Chillies, Carrot,  onion,  green chillies,  Vinegar, Fish,  Oil","40, 30.0, 50.0, 10.0, 30.0, 35.0, 15.0, 10.0, 90.0, 15.0"
"Red Rice with Drumstick Curry, potatoe cheese Balls, Jackfruit Mallum","Red rice, Drumstick,  Coconut milk,  Spices, cheese,  Potatoes,  pepper, Jackfruit","40, 50.0, 50.0, 5.0, 30.0, 60.0, 10.0, 60.0"
"Red Rice with Fish Ambul Thiyal, Eggplant Curry, Kiri Hodi","Red rice, Fish,  Goraka,  Spices, Eggplant,  Coconut milk","40, 80.0, 10.0, 12.0, 30.0, 70.0"
"Red Rice with Banana Blossom Curry, Ash Plantain Curry, Pumpkin Leaves Curry","Red rice, Banana blossom,  Coconut milk,  Spices, Ash plantain,  Chillies, Pumpkin leaves,  Coconut milk,  Chillies","40, 20.0, 35.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Fenugreek Curry, potatoe cheese Balls, Coriander Sambol","Red rice, Fenugreek,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Coriander,  Coconut,  pepper","40, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Bean Curry, Ala Badun, Papaya Curry","Red rice, Beans,  Coconut milk,  Spices, Potato,  Oil, onion, Papaya,  Spices","40, 30.0, 65.0, 35.0, 40.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Murunga Curry, Jaffna Crab Curry, Indian Fish Curry","Red rice, Drumstick,  Coconut milk,  Spices, Crab,  Coconut milk,  Chillies, Fish","40, 50.0, 55.0, 10.0, 50.0, 25.0, 20.0, 60.0"
"Red Rice with Fish Ambul Thiyal, Chicken Curry, Tapioca Chips","Red rice, Fish,  Goraka,  Spices, Chicken,  Coconut milk, curry leaves, Tapioca,  Oil,  Salt","40, 80.0, 10.0, 15.0, 50.0, 20.0, 3.0, 50.0, 20.0, 10.0"
"Red Rice with Devilled Fish, Sweet Corn Curry, Kappa Masala","Red rice, Fish,  Chili,  Curry leaves, Onion, Sweet corn,  Coconut milk, Cassava,  Coconut","40, 50.0, 15.0, 5.0, 20.0, 50.0, 25.0, 60.0, 25.0"
"Red Rice with Pineapple Curry, Kappa Masala, Sprats Fry","Red rice, Pineapple,  Coconut milk,  Spices, Cassava, Dried fish,  Oil,  Chillies","40, 50.0, 50.0, 10.0, 60.0, 40.0, 20.0, 10.0"
"Red Rice with Devilled Fish, Brinjal Moju, Green Gram Curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Eggplant,  Vinegar,  Spices, Green gram,  Coconut milk,  Spices","40, 50.0, 5.0, 5.0, 20.0, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0"
"Red Rice with Eggplant Curry, Cauliflower Pickle, Polos Ambula","Red rice, Eggplant,  Spices,  Coconut milk, Cauliflower,  Oil,  Garlic, Jackfruit,  chillies,  curry leaves","40, 30.0, 2.0, 40.0, 100.0, 50.0, 20.0, 80.0, 10.0, 10.0"
"Red Rice with Parippu, Bathala Curry, Cauliflower Pickle","Red rice, Dhal,  Coconut milk, Termeric powder, Sweet potato,  Spices, curry leaves, Cauliflower,  Oil,  Garlic","40, 10.0, 30.0, 5.0, 50.0, 5.0, 3.0, 100.0, 50.0, 20.0"
"Red Rice with Chicken Curry, Devilled Fish, Octopus Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Fish,  Chili, Onion, Octopus","40, 50.0, 45.0, 5.0, 8.0, 50.0, 15.0, 20.0, 50.0"
"Red Rice with Ala Badun, Bottle Gourd Curry, Tender Jackfruit Fry","Red rice, Potato,  Oil, onion, chilli, Bottle gourd,  Coconut milk,  Chillies, Jackfruit","40, 40.0, 30.0, 30.0, 5.0, 50.0, 25.0, 10.0, 90.0"
"Red Rice with Dhal Curry, Beetroot Curry, Papaya Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Beetroot, curry leaves, Papaya,  Spices","40, 80.0, 55.0, 10.0, 5.0, 30.0, 2.0, 50.0, 10.0"
"Red Rice with Jackfruit Curry, Thalapath Fish Curry, Spinach Curry","Red rice, Jackfruit,  Coconut milk, curry leaves, Thalapath fish,  Spices, Spinach,  Coconut milk","40, 15.0, 35.0, 5.0, 50.0, 40.0, 30.0, 40.0"
"Red Rice with Dhal Curry, Cuttlefish Curry, Kohila Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Cuttlefish, Kohila,  Coconut milk,  Chillies","40, 80.0, 35.0, 15.0, 5.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Jackfruit Curry, Beetroot Curry, Lotus Root Curry","Red rice, Jackfruit,  Coconut milk, curry leaves, Beetroot,  Spices, Lotus root,  Coconut milk,  Chillies","40, 15.0, 30.0, 7.0, 30.0, 5.0, 50.0, 25.0, 10.0"
"Red Rice with Malu Mirisata, Drumstick Curry, Murukku","Red rice, Fish,  Chili,  curry leaves, Drumstick,  Coconut milk,  Spices, flour,  Chillies","40, 50.0, 10.0, 3.0, 50.0, 20.0, 5.0, 50.0, 20.0"
"Red Rice with Pol Sambol, Fish Cutlets, Tropical Salad","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Fish,  Potatoes,  Chillies, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 5.0, 10.0, 3.0, 3.0, 30.0, 50.0, 10.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Fish Curry, Elumas Curry, Cabbage Mallung","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Goat, Cabbage","40, 50.0, 50.0, 13.0, 4.0, 50.0, 20.0"
"Red Rice with Eggplant Curry, Cuttlefish Curry, Bitter Leaf Curry","Red rice, Eggplant,  Spices,  Coconut milk, Cuttlefish, Bitter leaves,  Chillies","40, 30.0, 12.0, 60.0, 50.0, 50.0, 10.0"
"Red Rice with Carrot curry, Seeni Sambol, Batu Moju","Red rice, Carrot,  Coconut milk,  chillies, curry leaves, Onion,  Sugar, Eggplant,  garlic","40, 50.0, 20.0, 15.0, 5.0, 50.0, 5.0, 70.0, 15.0"
"Red Rice with Thalapath Fish Curry, Mint Sambol, Maalu Badun","Red rice, Thalapath fish,  Coconut milk,  Spices, Mint,  Coconut,  pepper, Fish,  Oil","40, 50.0, 25.0, 10.0, 60.0, 30.0, 5.0, 90.0, 15.0"
"Red Rice with Parippu, Chicken Curry, Kochchi Sambol","Red rice, Dhal,  Coconut milk, Termeric powder, Chicken,  Coconut milk,  Spices, curry leaves, Green chili","40, 10.0, 40.0, 5.0, 50.0, 20.0, 5.0, 3.0, 10.0"
"Red Rice with Pol Sambol, Green Banana Curry, Okra Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Green banana,  Coconut milk, Okra","40, 50.0, 25.0, 10.0, 3.0, 3.0, 50.0, 50.0, 50.0"
"Red Rice with Parippu, Coriander Sambol, Kochchi Sambol","Red rice, Dhal,  Coconut milk, Termeric powder, Coriander,  pepper, Green chili","40, 10.0, 70.0, 5.0, 60.0, 5.0, 10.0"
"Red Rice with Banana Blossom Curry, Kohila Curry, Cauliflower Pickle","Red rice, Banana blossom,  Coconut milk,  Spices, Kohila,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic","40, 20.0, 10.0, 5.0, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Fish Ambul Thiyal, Ash Plantain Curry, Soya Meat Curry","Red rice, Fish,  Goraka,  Spices, Ash plantain,  Coconut milk,  Chillies, Soya meat","40, 80.0, 10.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Parippu, Pineapple Pickle, Maalu Badun","Red rice, Dhal,  Coconut milk, Termeric powder, Pineapple,  pepper, Fish,  Oil","40, 10.0, 10.0, 5.0, 50.0, 10.0, 90.0, 15.0"
"Red Rice with Dry Fish Curry, Cucumber Sambol, Coconut Sambol","Red rice, Dry fish,  Coconut milk,  Chillies, Cucumber,  Coconut,  pepper,  Onion","40, 50.0, 25.0, 25.0, 60.0, 80.0, 5.0, 20.0"
"Red Rice with Ash Plantain Curry, Sesame Seed Sambol, Coconut Sambol","Red rice, Ash plantain,  Coconut milk,  Chillies, Sesame seed,  Chili,  Onion,  Chili,  Onion","40, 50.0, 75.0, 10.0, 50.0, 25.0, 10.0, 15.0, 20.0"
"Red Rice with Carrot Curry, Mango Chutney, Polos Mallum","Red rice, Carrot,  Coconut milk,  Spices, Mango,  Vinegar,  sugar, Jackfruit,  oil","40, 50.0, 50.0, 5.0, 40.0, 10.0, 10.0, 50.0, 5.0"
"Red Rice with Carrot Curry, Spinach Curry, Sinhala Achcharu","Red rice, Carrot,  Coconut milk,  Spices, Spinach,  Coconut milk,  onion,  green chillies,  Vinegar","40, 80.0, 20.0, 35.0, 30.0, 40.0, 35.0, 15.0, 10.0"
"Red Rice with Fish Cutlets, Vegetable Cutlets, Coriander Sambol","Red rice, Fish,  Potatoes,  Chillies, Carrot, Coriander,  Coconut,  pepper","40, 30.0, 90.0, 20.0, 30.0, 60.0, 30.0, 5.0"
"Red Rice with Potato Curry, potatoe cheese Balls, Gotu Kola Sambol","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, cheese,  Potatoes,  pepper, Gotu Kola,  Onion","40, 20.0, 45.0, 10.0, 5.0, 2.0, 30.0, 60.0, 10.0, 10.0, 15.0"
"Red Rice with Coconut Sambol, Seeni Sambol, Spicy Crab","Red rice, Coconut,  Chili,  Onion,  Sugar,  chillii, Crab,  Oil","40, 50.0, 15.0, 70.0, 5.0, 15.0, 70.0, 20.0"
"Red Rice with Okra Curry, Beetroot curry, Batu Moju","Red rice, Okra,  Coconut milk,  Chillies, Beetroot,  Coconut milk, curry leaves, Eggplant,  garlic","40, 50.0, 25.0, 20.0, 70.0, 30.0, 10.0, 70.0, 15.0"
"Red Rice with Carrot Curry, Carrot Sambol, Devilled Beef","Red rice, Carrot,  Coconut milk,  Spices,  Coconut,  pepper, Beef,  Oil,  chillies","40, 100.0, 20.0, 5.0, 10.0, 5.0, 80.0, 30.0, 5.0"
"Red Rice with Jackfruit Curry, Green Banana Curry, Kappa Masala","Red rice, Jackfruit,  Coconut milk, curry leaves, Green banana,  Coconut milk,  Chillies, Cassava","40, 15.0, 35.0, 5.0, 50.0, 25.0, 10.0, 60.0"
"Red Rice with Bitter Gourd Curry, Murukku, Dhal Vade","Red rice, Bitter gourd,  Coconut milk,  Spices, flour,  Chillies, Lentils,  chillie,  Oil","40, 50.0, 25.0, 10.0, 50.0, 20.0, 50.0, 15.0, 30.0"
"Red Rice with Egg Curry, Kochchi Sambol, Tropical Salad","Red rice, Egg,  Coconut milk,  Chillies,  Coconut, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 25.0, 20.0, 30.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Devilled Fish, Seeni Sambol, Tender Jackfruit Fry","Red rice, Fish,  Chili,  Curry leaves, Onion,  Sugar, Jackfruit,  Oil","40, 50.0, 10.0, 5.0, 70.0, 5.0, 90.0, 20.0"
"Red Rice with Banana Blossom Curry, Lotus Root Curry, Chickpea Salad","Red rice, Banana blossom,  Coconut milk,  Spices, Lotus root,  Coconut milk,  Chillies, Chickpeas,  Carrot,  Cabbage","40, 20.0, 10.0, 5.0, 50.0, 25.0, 10.0, 60.0, 30.0, 30.0"
"Red Rice with Potato Curry, Carrot Curry, Batu Moju","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Carrot, Eggplant,  garlic","40, 20.0, 50.0, 15.0, 5.0, 2.0, 50.0, 70.0, 15.0"
"Red Rice with Devilled Chicken, Spinach Curry, Cauliflower Pickle","Red rice, Chicken,  Chili,  Curry leaves, Onion, Spinach,  Coconut milk,  Spices, Cauliflower,  Oil,  Garlic","40, 50.0, 5.0, 10.0, 20.0, 30.0, 40.0, 30.0, 100.0, 50.0, 20.0"
"Red Rice with Bitter Gourd Salad, Green Banana Curry, Prawn Curry","Red rice, Bitter gourd,  Coconut, Green banana,  Coconut milk,  Chillies, Prawn","40, 50.0, 35.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Seer Fish Curry, Capsicum Curry, Tapioca Chips","Red rice, Seer fish,  Coconut milk,  Chillies, Capsicum, Tapioca,  Oil,  Salt","40, 50.0, 50.0, 20.0, 50.0, 50.0, 20.0, 10.0"
"Red Rice with Devilled Fish, Sesame Seed Sambol, Jackfruit Mallum","Red rice, Fish,  Chili,  Curry leaves, Onion, Sesame seed,  Onion, Jackfruit,  Coconut","40, 50.0, 30.0, 5.0, 20.0, 50.0, 10.0, 60.0, 30.0"
"Red Rice with Green Pea Curry, Okra Curry, Fish Patties","Red rice, Green pea,  Coconut milk,  Chillies, Okra, Fish,  Flour,  Oil","40, 50.0, 50.0, 20.0, 50.0, 40.0, 30.0, 30.0"
